Kabupaten;jumlah_penduduk;total_sampah_ton;jumlah_truk;jumlah_motor;jumlah_tps;total_armada;sampah_perpenduduk;sampah_perarmada;sampah_pertps
bogor;5627.02;358;12;11;247;23;0,063621597;15,56521739;1,449392713
sukabumi;2802.4;35;14;13;212;27;0,012489295;1,296296296;0,16509434
cianjur;2558.14;488.92;2;27;188;29;0,191123238;16,85931034;2,600638298
bandung;3721.11;254.46;47;186;210;233;0,068382821;1,092103004;1,211714286
garut;2683.67;361.44;9;31;199;40;0,134681239;9,036;1,816281407
tasikmalaya;1907.05;69;5;2;131;7;0,036181537;9,857142857;0,526717557
ciamis;1251.54;72.78;9;24;128;33;0,058152356;2,205454545;0,56859375
kuningan;1201.76;30.208;8;3;260;11;25,13646652;2746,181818;116,1846154
cirebon;2360.44;43;22;91;327;113;0,018216943;0,380530973;0,131498471
majalengka;1340.62;534;9;2;230;11;0,398323164;48,54545455;2,32173913
sumedang;1178.24;13.3;14;21;163;35;0,011288023;0,38;0,081595092
indramayu;1894.3;142;42;41;247;83;0,07496054;1,710843373;0,574898785
subang;1649.82;2.6;13;8;161;21;0,001575929;0,123809524;0,016149068
purwakarta;1037.07;10.94;12;28;96;40;0,01054895;0,2735;0,113958333
karawang;2526;362.12;10;26;135;36;0,143357086;10,05888889;2,68237037
bekasi;3237.42;52.16;65;23;78;88;0,016111595;0,592727273;0,668717949
bandung barat;1859.64;14;12;18;99;30;0,007528339;0,466666667;0,141414141
pangandaran;431.46;87.87;11;82;41;93;0,203657349;0,94483871;2,143170732
